City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,hualmay,-11.0964,-77.6139,66.97,69,42,9.86,PE,1628961668
341,leiyang,26.4024,112.8591,72.21,95,97,2.62,CN,1628961669
342,shimoda,34.6667,138.95,80.71,93,100,19.91,JP,1628961669
343,trujillo,-8.116,-79.03,66.16,77,40,10.36,PE,1628961669
344,zhezkazgan,47.8043,67.7144,64.29,37,81,14.23,KZ,1628961670
345,metlaltoyuca,20.7333,-97.85,89.33,58,11,1.21,MX,1628961670
346,kommunisticheskiy,61.6789,64.4819,68.07,60,62,12.62,RU,1628961670
347,muli,2.9167,73.5667,82.76,75,29,18.28,MV,1628961670
348,itaituba,-4.2761,-55.9836,87.96,74,75,0.0,BR,1628961671
349,bichena,10.45,38.2,57.09,77,32,4.54,ET,1628961671
350,hollins,37.3413,-79.9431,94.19,56,75,10.36,US,1628961672
351,labuhan,-6.8844,112.2051,77.85,81,56,7.2,ID,1628961672
352,balkanabat,39.5108,54.3671,89.24,15,0,15.17,TM,1628961672
353,tilichiki,60.4667,166.1,48.7,90,66,1.97,RU,1628961673
354,satrikh,26.8667,81.2,86.07,77,65,5.66,IN,1628961674
355,brae,60.3964,-1.353,58.91,81,20,12.17,GB,1628961674
356,rosarito,32.3333,-117.0333,87.67,60,2,9.46,MX,1628961674
357,port lincoln,-34.7333,135.8667,51.67,64,0,7.11,AU,1628961675
358,puro,12.4841,123.3827,79.3,83,85,4.27,PH,1628961675
359,komsomolskoye,55.2567,47.5461,62.26,89,100,3.42,RU,1628961675
360,eyl,7.9803,49.8164,78.15,79,60,26.31,SO,1628961676
361,marystown,47.1666,-55.1483,71.51,87,95,5.12,CA,1628961676
362,tonekabon,36.8163,50.8738,84.15,56,6,1.57,IR,1628961676
363,lexington park,38.2668,-76.4538,91.81,63,40,0.0,US,1628961495
364,marzuq,14.4,46.4667,85.5,45,4,8.46,YE,1628961677
365,krasnyy chikoy,50.3643,108.7512,56.64,91,16,2.84,RU,1628961677
